name,year,miles,color,condition,price
Audi A3,2023,"2,717 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,500"
Audi A3,2023,"2,266 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2023,"2,521 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2023,"2,195 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2015,"70,811 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$14,895"
Audi A3,2023,"1,760 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2023,"2,195 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2015,"70,811 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$14,895"
Audi A3,2023,"1,760 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Audi A3,2023,"3,670 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$31,894"
Audi A3,2023,"3,670 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$31,894"
Audi A4,2018,"50,012 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$23,222"
Audi A4,2015,"53,259 miles","Blue exterior, Black interior","No accidents reported, 3 Owners","$17,998"
Audi A4,2018,"60,428 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$19,399"
Audi A4,2023,564 miles,"Black exterior, Black interior","No accidents reported, 1 Owner","$35,500"
Audi A5,2023,"6,091 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,462"
Audi A5,2023,"2,077 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$37,998"
Audi A5,2023,"1,751 miles","White exterior, Black interior","No accidents reported, 1 Owner","$46,286"
Audi A5,2023,"3,037 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$39,232"
Audi A5,2023,"1,751 miles","White exterior, Black interior","No accidents reported, 1 Owner","$46,286"
Audi A5,2020,"39,232 miles","White exterior, Black interior","2 accidents reported, 1 Owner","$33,998"
Audi A5,2021,"23,731 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$36,995"
Audi A5,2021,"23,731 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$36,995"
Audi A5,2023,"4,263 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$40,551"
Audi A5,2012,"106,320 miles","Black exterior, Unknown interior","No accidents reported, 0 Owners","$9,795"
Audi A5,2016,"57,313 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$21,995"
Audi A5,2018,"50,180 miles","White exterior, Brown interior","1 accident reported, 2 Owners","$28,333"
Audi A5,2015,"105,026 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$14,995"
Audi A5,2018,"50,180 miles","White exterior, Brown interior","1 accident reported, 2 Owners","$28,333"
Audi A5,2015,"105,026 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$14,995"
Audi A6,2023,"5,801 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$47,998"
Audi A6,2017,"71,003 miles","Blue exterior, Brown interior","1 accident reported, 2 Owners","$15,999"
Audi A6,2008,"95,450 miles","Black exterior, Unknown interior","No accidents reported, 0 Owners","$9,795"
Audi A6,2017,"71,003 miles","Blue exterior, Brown interior","1 accident reported, 2 Owners","$15,999"
Audi A6,2023,"3,119 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$49,997"
Audi A6,2014,"67,217 miles","Gray exterior, Black interior","2 accidents reported, 1 Owner","$19,998"
Audi A6,2023,"3,119 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$49,997"
Audi A7,2016,"42,396 miles","White exterior, Black interior","No accidents reported, 3 Owners","$28,998"
Audi A8,2013,"51,583 miles","White exterior, Black interior","1 accident reported, 2 Owners","$17,499"
Audi allroad,2013,"86,955 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$15,998"
Audi allroad,2013,"86,955 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$15,998"
Audi Q3,2021,"52,381 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,399"
Audi Q3,2018,"34,641 miles","White exterior, Black interior","No accidents reported, 1 Owner","$23,998"
Audi Q3,2021,"52,381 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,399"
Audi Q3,2021,"62,112 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,699"
Audi Q3,2020,"24,398 miles","Blue exterior, Brown interior","No accidents reported, 1 Owner","$25,725"
Audi Q3,2018,"21,714 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,499"
Audi Q3,2018,"34,641 miles","White exterior, Black interior","No accidents reported, 1 Owner","$23,998"
Audi Q3,2020,"25,933 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$29,998"
Audi Q3,2018,"21,714 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,499"
Audi Q3,2020,"25,933 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$29,998"
Audi Q3,2019,"63,070 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,500"
Audi Q3,2021,"18,982 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$27,993"
Audi Q5,2021,"23,982 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,949"
Audi Q5,2023,"4,888 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$44,672"
Audi Q5,2022,"10,969 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$36,993"
Audi Q5,2020,"24,359 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$30,855"
Audi Q5,2022,"11,651 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$33,497"
Audi Q5,2020,"15,503 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$29,999"
Audi Q5,2020,"22,534 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$31,888"
Audi Q5,2023,"1,581 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$37,989"
Audi Q5,2020,"13,984 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$33,888"
Audi Q5,2013,"115,118 miles","Gray exterior, Black interior","1 accident reported, 3 Owners","$11,995"
Audi Q5,2018,"43,865 miles","Blue exterior, Black interior","1 accident reported, 2 Owners","$19,992"
Audi Q5,2020,"13,984 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$33,888"
Audi Q5,2021,"40,208 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$36,998"
Audi Q5,2018,"43,865 miles","Blue exterior, Black interior","1 accident reported, 2 Owners","$19,992"
Audi Q5,2022,"8,997 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$33,956"
Audi Q5,2022,"8,997 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$33,956"
Audi Q5,2010,"158,250 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$4,995"
Audi Q5,2022,"5,030 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$37,405"
Audi Q7,2023,"2,738 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$53,155"
Audi Q7,2023,"2,738 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$53,155"
Audi Q7,2023,"10,322 miles","White exterior, Black interior","No accidents reported, 1 Owner","$58,957"
Audi Q7,2023,"8,581 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$51,623"
Audi Q7,2023,"6,411 miles","White exterior, Black interior","No accidents reported, 1 Owner","$54,980"
Audi Q7,2023,"8,581 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$51,623"
Audi Q7,2019,"25,687 miles","Black exterior, Black interior","2 accidents reported, 1 Owner","$33,998"
Audi Q7,2023,"2,403 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$54,664"
Audi Q7,2021,"38,785 miles","Tan exterior, Black interior","No accidents reported, 1 Owner","$42,998"
Audi Q7,2019,"26,958 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$29,998"
Audi Q7,2020,"61,605 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$28,918"
Audi Q7,2023,"13,787 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$65,346"
Audi Q8,2023,"4,320 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$68,796"
Audi R8,2012,"33,944 miles","Black exterior, Black interior","No accidents reported, 4 Owners","$88,000"
Audi RS 5,2021,"9,215 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$66,900"
Audi RS 5,2015,"57,150 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$33,919"
Audi RS 6 Avant,2023,"8,483 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$124,995"
Audi S3,2016,"54,042 miles","Blue exterior, Black interior","1 accident reported, 4 Owners","$25,998"
Audi S7,2014,"72,485 miles","Red exterior, Black interior","No accidents reported, 2 Owners","$24,987"
Audi S7,2022,"16,155 miles","White exterior, Red interior","1 accident reported, 2 Owners","$73,865"
Audi TTS,2017,"61,801 miles","Black exterior, Red interior","No accidents reported, 2 Owners","$28,888"
